id,name,status,species,type,gender,origin,quantity_appeared
572,Robot Snake,unknown,Robot,Snake,Genderless,Snake Planet,1
573,Snake Hitler,Dead,Animal,Snake,Male,Snake Planet,1
574,Snake Lincoln,Dead,Animal,Snake,Male,Snake Planet,1
575,Snake Resistance Robot,Dead,Robot,Human-Snake hybrid,Genderless,Snake Planet,1
576,Snake Linguist,unknown,Animal,Snake,Male,Snake Planet,1
577,Snake Terminator,unknown,Robot,Snake,Male,Snake Planet,1
578,Snake Soldier,Alive,Animal,Snake,Male,Snake Planet,1
579,Snake with Legs,Alive,Animal,Snake,Male,Snake Planet,1
580,Secret Service Snake,Alive,Animal,Snake,Male,Snake Planet,1
581,Anchosnake,Alive,Animal,Snake,Male,Snake Planet,1
582,Anchosnake,Alive,Animal,Snake,Female,Snake Planet,1
583,80's snake,unknown,Animal,Snake,Male,Snake Planet,1
584,Bar Customer,Alive,Human,,Male,Earth (Replacement Dimension),1
585,Bartender,Alive,Human,,Female,Earth (Replacement Dimension),1
586,PC Basketball Player,Alive,Human,,Male,Earth (Replacement Dimension),1
587,Cavesnake,Dead,Animal,Snake,Male,Snake Planet,1
588,Pet Shop Employee,Alive,Human,,Male,Earth (Replacement Dimension),1
589,Snake Reporter,Alive,Animal,Snake,Male,Snake Planet,1
590,High Pilot,unknown,Human,,Male,Earth (Replacement Dimension),1
591,High Pilot,unknown,Human,,Male,Earth (Replacement Dimension),1
592,Phoenixperson,Dead,Alien,Cyborg,Male,Bird World,3
593,Tickets Please Guy,Dead,Human,Soulless Puppet,Male,Story Train,1
594,Floaty Bloody Man,Dead,Human,Half Soulless Puppet,Male,Tickets Please Guy Nightmare,1
595,Floaty Non-Gasm Brotherhood Member,Dead,Alien,Soulless Puppet,Male,Tickets Please Guy Nightmare,1
596,Floaty Non-Gasm Brotherhood Member Friend,Dead,Alien,Soulless Puppet,Female,Tickets Please Guy Nightmare,1
597,Abradolf Lincler,Alive,Human,Soulless Puppet,Male,Story Train,1
598,Biblesaurus,Alive,Animal,Soulless Puppet,Male,Story Train,1
599,Birdperson,Alive,Alien,Soulless Puppet,Male,Story Train,1
600,Cats Fan,Alive,Alien,Soulless Puppet,Female,Story Train,1
601,Christmas Storyteller,Alive,Alien,Soulless Puppet,Male,Story Train,1
602,Cookies Guy,Alive,Human,Soulless Puppet,Male,Morty’s Story,1
603,Crossy,Alive,unknown,Soulless Puppet,Genderless,Ricks’s Story,1
604,Female Scorpion,Dead,Animal,Soulless Puppet,Female,Morty’s Story,1
605,Floaty Bloody Man’s Daughter,Dead,Human,Soulless Puppet,Female,Tickets Please Guy Nightmare,1
606,Goomby,Alive,Alien,Soulless Puppet,Male,Story Train,1
607,Hairspray Fan,Alive,Alien,Soulless Puppet,Female,Story Train,1
608,Jesus Christ,Alive,Human,Soulless Puppet,Male,Ricks’s Story,1
609,Josh,Dead,Human,Soulless Puppet,Male,Tickets Please Guy Nightmare,1
610,Josh's Sister,Dead,Human,Soulless Puppet,Female,Tickets Please Guy Nightmare,1
611,Leah,Alive,unknown,Soulless Puppet,Female,Story Train,1
612,Marcus,Alive,Human,Soulless Puppet,Male,Story Train,1
613,Mike Johnson,Alive,Human,Soulless Puppet,Male,Morty’s Story,1
614,Mr. Celery & Friends,Alive,unknown,Soulless Puppet,Genderless,Ricks’s Story,1
615,Musical Fan,Alive,Alien,Soulless Puppet,Male,Story Train,1
616,Phantom of the Opera Fan,Alive,Alien,Soulless Puppet,Male,Story Train,1
617,Phoenixperson,Alive,Alien,Soulless Puppet,Male,Story Train,1
618,Private Smith,unknown,Human,Soulless Puppet,Male,Story Train,1
619,Professor Sanchez,Dead,Human,Soulless Puppet,Male,Story Train,1
620,Ramamama Lord,Alive,Human,Soulless Puppet,Male,Story Train,1
621,Ruth Bader Ginsburg,Alive,Human,Soulless Puppet,Female,Morty’s Story,1
622,Sarge,Alive,Human,Soulless Puppet,Male,Story Train,1
623,Shrek The Musical Fan,Alive,Alien,Soulless Puppet,Male,Story Train,1
624,Snuffles,Alive,Animal,Soulless Puppet,Male,Story Train,1
625,Storylord,Alive,Human,Soulless Puppet,Male,Story Train,1
626,Tammy Guetermann,Alive,Human,Soulless Puppet,Female,Story Train,1
627,The Concept of Time,Alive,unknown,Soulless Puppet,Genderless,Story Train,1
628,Beth Smith,Alive,Human,Soulless Puppet,Female,Morty’s Story,1
629,Summer Smith,Alive,Human,Soulless Puppet,Female,Morty’s Story,1
630,Morty Smith,Alive,Human,Soulless Puppet,Male,Story Train,1
631,Rick Sanchez,Alive,Human,Soulless Puppet,Male,Story Train,1
632,Train Cop,Dead,Human,Soulless Puppet,Male,Story Train,1
633,Train Cops,Alive,Human,Soulless Puppet,Female,Story Train,1
634,Train Cops Instructor,Dead,Human,Soulless Puppet,Male,Story Train,1
635,Darth Poopybutthole,Alive,Poopybutthole,Soulless Puppet,Male,Ricks’s Story,1
636,Evil Morty,Alive,Human,Soulless Puppet,Male,Ricks’s Story,1
637,Morty’s Disguise,Alive,Human,Soulless Puppet,Female,Story Train,1
638,Rick’s Disguise,Alive,Human,Soulless Puppet,Male,Story Train,1
639,Uncle Nibbles,Dead,Alien,Soulless Puppet,Male,Tickets Please Guy Nightmare,1
640,Angry Glorzo,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
641,Bruce,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
642,Council of Glorzos Member,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
643,Council of Glorzos Member,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
644,Old Glorzo,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
645,Shane,unknown,Alien,Glorzo,Male,Glorzo Asteroid,1
646,Steve,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
647,Troy,Dead,Alien,Glorzo,Male,Glorzo Asteroid,1
648,Crystal Dealers Boss,Dead,Alien,,Male,unknown,1
649,Crystal Dealer,Dead,Alien,,Male,unknown,1
650,Crystal Dealer,Dead,Alien,,Male,unknown,1
651,Crystal Dealer,Dead,Alien,,Male,unknown,1
652,SWAT Officer,Dead,Human,,Male,Merged Universe,1
653,Plane Crash Survivor,unknown,Human,,Female,Near-Duplicate Reality,1
654,Plane Crash Survivor,unknown,Human,,Male,Near-Duplicate Reality,1
655,Heroine Keith,Alive,Human,,Male,Near-Duplicate Reality,1
656,Impervious to Acid SWAT Officer,Dead,Human,,Male,Merged Universe,1
657,Johnny Carson,Alive,Human,,Male,Merged Universe,1
658,Sonia Sotomayor,Alive,Human,,Female,Merged Universe,1
659,Morty’s Father-in-law,Alive,Human,,Male,Near-Duplicate Reality,1
660,Morty’s Mother-in-law,Alive,Human,,Female,Near-Duplicate Reality,1
661,Morty’s Girlfriend,Alive,Human,,Female,Near-Duplicate Reality,1
662,Gaia,Alive,unknown,Planet,Female,Gaia,1
663,Reggie,Dead,Mythological Creature,Zeus,Male,Mount Olympus,1
664,Ticktock,unknown,Humanoid,Clay-Person,Genderless,Gaia,1
665,Florflock,Alive,Humanoid,Clay-Person,Genderless,Gaia,1
666,Squeeb,Alive,Humanoid,Clay-Person,Genderless,Gaia,1
667,Defiance Beth,Alive,Human,Clone,Female,Earth (Replacement Dimension),2
668,Defiance Squanchette,Alive,Alien,Cat-Person,Female,Planet Squanch,1
669,Defiance Doctor,Alive,Alien,,Male,unknown,1
670,New Improved Galactic Federation Guard,Dead,Alien,Gromflomite,Male,Gromflom Prime,1
671,New Improved Galactic Federation Guard,Dead,Alien,Gromflomite,Male,Gromflom Prime,1
672,Mr. Nimbus,Alive,Mythological Creature,Sexy Aquaman,Male,The Ocean,1
673,Hoovy,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
674,Bova,Dead,Humanoid,Narnian,Female,Narnia Dimension,1
675,Japheth,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
676,Japheth's Middle Son,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
677,Japheth's Eldest Son,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
678,Japheth's Youngest Son,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
679,Japheth's Grandson,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
680,Adam,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
681,Adam's Mother,Dead,Humanoid,Narnian,Female,Narnia Dimension,1
682,Warlock,Dead,Humanoid,Narnian,Male,Narnia Dimension,1
683,Evolved Narnian,Alive,Humanoid,Narnian,Male,Narnia Dimension,1
684,Mr. Nimbus Secretary,Alive,Animal,Starfish,Female,The Ocean,1
685,Evolved Narnian Disguised as Morty,Alive,Humanoid,Narnian,Male,Narnia Dimension,1
686,Mr. Nimbus' Squid,Dead,Animal,Squid,Male,The Ocean,1
687,Scarecrow Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
688,Scarecrow Summer,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
689,Scarecrow Jerry,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
690,Scarecrow Morty,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
691,Scarecrow Beth,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
692,Glockenspiel Jerry,Alive,Robot,Decoy,Male,Earth (Replacement Dimension),1
693,Glockenspiel Beth,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
694,Glockenspiel Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
695,Glockenspiel Summer,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
696,Glockenspiel Morty,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
697,Wicker Beth,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
698,Wicker Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
699,Wicker Morty,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
700,Wicker Summer,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
701,Metal Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
702,Gun Brain Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
703,Mr. Always Wants to be Hunted,Alive,Poopybutthole,,Male,unknown,1
704,Squid Costume Beth,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
705,Squid Costume Jerry,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
706,Squid Costume Morty,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
707,Squid Costume Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
708,Squid Costume Summer,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
709,Dracula,Alive,Mythological Creature,Vampire,Male,Interdimensional Cable,1
710,Steve,Alive,Human,,Male,Earth (Replacement Dimension),1
711,When Wolf,Alive,Mythological Creature,Whenwolf,Male,Interdimensional Cable,1
712,Too Cute to Murder Beth,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
713,Too Cute to Murder Rick,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
714,Too Cute to Murder Jerry,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
715,Too Cute to Murder Morty,Dead,Robot,Decoy,Male,Earth (Replacement Dimension),1
716,Too Cute to Murder Summer,Dead,Robot,Decoy,Female,Earth (Replacement Dimension),1
717,Planetina,Alive,Humanoid,Summon,Female,Elemental Rings,1
718,Daphne,Alive,Alien,Morglutzian,Female,Morglutz,1
719,Diesel Weasel,Alive,Animal,Weasel,Male,Earth (Replacement Dimension),1
720,Eddie,Dead,Human,,Male,Earth (Replacement Dimension),1
721,Xing Ho,Dead,Human,,Female,Earth (Replacement Dimension),1
722,Air Tina-Teer,Dead,Human,,Female,Earth (Replacement Dimension),1
723,Water Tina-Teer,Dead,Human,,Male,Earth (Replacement Dimension),1
724,Planetina Buyer,Dead,Human,,Male,Earth (Replacement Dimension),1
725,Tony Galopagus,Alive,Human,,Male,Earth (Replacement Dimension),1
726,Sticky,Alive,unknown,Super Sperm Monster,Male,Morty,1
727,Professor Shabooboo,Dead,Human,,Male,Earth (Replacement Dimension),1
728,Sperm Queen,Dead,unknown,Super Sperm Monster,Female,Morty,1
729,CHUD King,Alive,Animal,CHUD,Male,Earth (Replacement Dimension),1
730,Princess Ponietta,Alive,Animal,CHUD,Female,Earth (Replacement Dimension),1
731,Naruto Smith,Alive,Humanoid,Giant Incest Baby,Male,Earth (Replacement Dimension),2
732,Blazen,Dead,Human,,Male,Earth (Replacement Dimension),1
733,Kathy Ireland,Alive,Human,,Female,Earth (Replacement Dimension),1
734,Amazing Johnathan,Alive,Human,,Male,Earth (Replacement Dimension),1
735,Foal Sanchez,Alive,Humanoid,CHUD Human Mix,unknown,Earth (Replacement Dimension),1
736,Spaceman,Dead,Human,,Male,Earth (Replacement Dimension),1
737,Cirque du Soleil Zumanity Member,Alive,Human,,Female,Near-Duplicate Reality,1
738,Cirque du Soleil Zumanity Member,Alive,Human,,Male,Earth (Replacement Dimension),1
739,Cirque du Soleil Zumanity Member,Alive,Human,,Female,Earth (Replacement Dimension),1
740,Cirque du Soleil Zumanity Member,Dead,Human,,Female,Earth (Replacement Dimension),1
741,Cirque du Soleil Zumanity Member,Alive,Human,,Female,Earth (Replacement Dimension),1
742,Bruce Chutback,Alive,Human,,Male,Earth (Replacement Dimension),1
743,Alyson Hannigan,Dead,Alien,,Female,unknown,1
744,Cenobite,unknown,Mythological Creature,Demon,Male,Hell,1
745,Cenobite,unknown,Mythological Creature,Demon,Female,Hell,1
746,Cenobite,unknown,Mythological Creature,Demon,Male,Hell,1
747,Cenobite,unknown,Mythological Creature,Demon,Male,Hell,1
748,Cenobite,unknown,Mythological Creature,Demon,Male,Hell,1
749,Coat Rack Head,unknown,Mythological Creature,Demon,Male,Hell,1
750,Mousetrap Nipples,unknown,Mythological Creature,Demon,Male,Hell,1
751,Changeformer,Dead,Robot,Changeformer,Male,Space Tahoe,1
752,Changeformer,Dead,Robot,Changeformer,Male,Space Tahoe,1
753,Space Cruiser,Alive,Robot,Artificial Intelligence,Female,Earth (Replacement Dimension),2
754,Coop,Alive,Human,,Male,Earth (Replacement Dimension),1
755,Dwayne,Alive,Human,,Male,Earth (Replacement Dimension),1
756,Franklin D. Roosevelt,Dead,Humanoid,Guinea Pig for the Polio Vaccine,Male,Earth (Replacement Dimension),1
757,President's General,Alive,Human,,Male,Earth (Replacement Dimension),2
758,Giant Assassin Hidden in the Statue of Liberty,Alive,Robot,,Female,France,1
759,Turkey Morty,Alive,Animal,Turkey,Male,Earth (Replacement Dimension),1
760,Turkey Rick,Alive,Animal,Turkey,Male,Earth (Replacement Dimension),1
761,Turkey President Curtis,Alive,Animal,Turkey,Male,Earth (Replacement Dimension),1
762,Martínez,Dead,Animal,Turkey,Male,Earth (Replacement Dimension),1
763,Marvin,Alive,Human,,Male,Earth (Replacement Dimension),1
764,Jackey,Alive,Human,,Male,Earth (Replacement Dimension),1
765,Native Alien,Alive,Alien,,Male,unknown,1
766,Pilgrim Alien,Alive,Alien,,Male,unknown,1
767,President Turkey,Dead,Humanoid,Turkey Human Mix,Male,Earth (Replacement Dimension),1
768,Mary-Lou,Alive,Human,,Female,Earth (Replacement Dimension),1
769,Big Fat rick,unknown,Human,,Male,unknown,1
770,Hothead Rick,Dead,Human,,Male,unknown,1
771,Ricardo Montoya,unknown,Human,,Male,unknown,1
772,Wrap-it-up Little Rick,Dead,Human,,Male,unknown,1
773,Yo-yo Rick,unknown,Human,,Male,unknown,1
774,Voiceoverian,Dead,Alien,Parasite,unknown,unknown,1
775,Voiceoverian,Dead,Alien,Parasite,unknown,unknown,1
776,Gotron Pilot,Dead,Human,Anime,Male,unknown,1
777,Gotron Pilot,Dead,Human,Anime,Male,unknown,1
778,Gotron Pilot,Dead,Human,Anime,Male,unknown,1
779,Young Memory Rick,Alive,Human,Memory,Male,Birdperson's Consciousness,1
780,Memory Tammy,Dead,Human,Memory,Female,Birdperson's Consciousness,1
781,Rick's Garage,Alive,Robot,Artificial Intelligence,Female,Earth (Replacement Dimension),1
782,Memory Squanchy,Dead,Alien,Memory,Male,Birdperson's Consciousness,1
783,Memory Rick,Dead,Human,Memory,Male,Birdperson's Consciousness,1
784,Memory Rick,Dead,Human,Memory,Male,Birdperson's Consciousness,1
785,Memory Geardude,Dead,Alien,Memory,Male,Birdperson's Consciousness,1
786,Birdperson & Tammy's Child,Alive,Humanoid,Bird-Person Human Mix,Female,Earth (Replacement Dimension),1
787,Two Crows,Alive,Animal,Crow,unknown,Earth (Replacement Dimension),2
788,Mr. Cookie President,Alive,Alien,Cookie,Male,unknown,1
789,Nick,Dead,Human,,Male,Earth (Replacement Dimension),1
790,Harold (Garbage Goober),Alive,Alien,,Male,unknown,1
791,Harold's Wife,Alive,Alien,,Female,unknown,1
792,Alien Crow,Dead,Alien,Crow,Male,Avian Planet,1
793,Alien Crow,Dead,Alien,Crow,Female,Avian Planet,1
794,Samansky,Dead,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
795,Palicki,Alive,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
796,Sarge,Alive,Alien,Normal Size Bug,Male,Normal Size Bug Dimension,1
797,Slartivartian,Dead,Alien,Slartivartian,Male,Slartivart,1
798,Ferkusian,Alive,Alien,Ferkusian,Male,Ferkus 9,1
799,Morglutzian,Dead,Alien,Morglutzian,Male,Morglutz,1
800,Super Turkey,Dead,Humanoid,Turkey Human Mix,Male,Earth (Replacement Dimension),1
801,7+7 Years Old Morty,unknown,Human,,Male,Citadel of Ricks,1
802,26 Years Old Morty,Dead,Human,,Male,Citadel of Ricks,1
803,40 Years Old Morty,unknown,Human,,Male,Citadel of Ricks,1
804,Andy,unknown,Human,Mascot,Male,unknown,1
805,Baby Mouse Skin Morty,Alive,Human,,Male,Citadel of Ricks,1
806,Metaphor for Capitalism,Dead,Humanoid,,Male,Citadel of Ricks,1
807,Beth Sanchez,Dead,Human,,Female,Earth (C-137),1
808,Crow Scare,Alive,Humanoid,Scarecrow,Male,Rick and Two Crows Planet,1
809,Pussifer,Dead,Animal,Tiger,Male,Rick and Two Crows Planet,1
810,Stan Lee Rick,unknown,Human,,Male,unknown,1
811,Re-Build-a-Morty Morty,unknown,Human,,Male,unknown,1
812,Deformed Morty,Dead,Humanoid,,Male,Citadel of Ricks,1
813,Crow Horse,Alive,Robot,Crow Horse,unknown,Rick and Two Crows Planet,1
814,Bald Rick,Dead,Human,,Male,unknown,1
815,Punk Rick,Dead,Human,,Male,unknown,1
816,Party Rick,Dead,Human,,Male,unknown,1
817,Scar Rick,Dead,Human,,Male,unknown,1
818,Long Hair Rick,unknown,Human,,Male,unknown,1
819,Redhead Rick,Dead,Human,,Male,unknown,1
820,Redhead Morty,Dead,Human,,Male,unknown,1
821,Gotron,unknown,Robot,Ferret Robot,Genderless,Earth (Replacement Dimension),1
822,Young Jerry,unknown,Human,,Male,Earth (Unknown dimension),1
823,Young Beth,unknown,Human,,Female,Earth (Unknown dimension),1
824,Young Beth,unknown,Human,,Female,Earth (Unknown dimension),1
825,Young Jerry,unknown,Human,,Male,Earth (Unknown dimension),1
826,Butter Robot,Alive,Robot,Passing Butter Robot,Genderless,Earth (Replacement Dimension),1
